1,disseminate,v.散布；宣传，传播
2,portray,v.描绘；描述
3,localize,v.使地方化，（使）局部化，停留在一地方
4,proterozoic,n.原生代；adj.原生代的
5,varves,n.（地）纹泥，冲积层
6,tundra,n.冻土地带
7,glaciation,n.冰川作用
8,aviculturist,n.从事鸟类饲养的人，养鸟的人
9,archaeocyte,n.原细胞
10,inspiration,n.灵感；鼓舞人心的人或事；妙计，好办法
11,geologic,adj.地质学的，地质的
12,predatory,adj.捕食生物的
13,madder,n.茜草属的植物，人造茜草染料，茜草色
14,organic,adj.有机的
15,prominent,adj.突起的，显眼的；突出的，杰出的
16,strategy,n.策略，计谋
17,representation,n.代表；陈述
18,individualism,n.个人主义；不干涉主义
19,canopy,n.顶篷；vt.用天篷遮盖
20,pest,n.害虫；讨厌的人（或东西）
21,journalism,n.新闻业
22,algae,n.藻类
23,deterioration,n.变坏，退化，恶化
24,accustom,v.使习惯于
25,torque,n.转矩
26,commercially,adv.商业上
27,territory,n.地区，领土；属地
28,institute,n.学院，专科学院，研究院（或所）；学会；vt.建…
29,grandiose,adj.浮夸的，夸大的，宏伟的
30,emergence,n.冒出；浮现
31,turbine,n.汽轮机，叶轮机
32,resilience,n.恢复力；顺应力；还原能力，弹力
33,putrefy,v.使腐烂，堕落
34,plankton,n.浮游生物
35,opportunistic,adj.投机取巧的；机会主义的
36,seep,v.（液体等）渗漏，（观念等）渗入，（疾病恐惧等…
37,democrat,n.民主党人，民主主义者
38,potential,n.潜力，潜能；adj.潜在的，可能的
39,association,n.协会，联盟，社团；伙伴，关系
40,monument,n.纪念碑；历史遗迹，遗址
41,impulse,n.冲动
42,preservation,n.保存，保护
43,intricate,adj.错综复杂的；复杂精细的
44,thoughtful,adj.体贴的；沉思的
45,accumulate,vt.积攒
46,fare,n.交通费；v.（事情）进行得（好或坏）
47,frost,n.霜冻，严寒；v.撒上糖霜
48,narrative,n.叙述；adj.叙述的
49,continental,adj.大陆的，大陆性的；n.欧洲人
50,perception,n.洞察力，理解力
51,dominant,adj.主要的，占优势的
52,leisure,n.闲暇，休闲
53,demonstrate,v.演示，展示；（用实例、实验）论证；示范；示威
54,distinct,adj.截然不同的；独特的；明显的；清晰的
55,instinct,n.本能，天性；天分，天资；直觉
56,circumstance,n.条件；情况；客观环境
57,irrigation,n.灌溉
58,humidity,n.潮湿；湿度
59,ore,n.矿，矿石；矿砂
60,stimulate,v.激发，促进
61,intelligence,n.智力；理解力；情报
62,regulation,n.规章，法规，条例；管理
63,presence,n.风度，仪态；出席，到场
64,exact,adj.确切的
65,commission,n.委员会；佣金；任务；权限；委任；v.委任
66,represent,v.象征；代表；表示；描述，展现；阐明；说明
67,parade,n.游行；v.游行，（使）列队行进
68,tablet,n.碑，匾；药片
69,stagnant,adj.不流动的
70,prestige,n.威望，声望
71,episode,n.连续剧的一集
72,sophisticated,adj.精密的；老练的；高雅时髦的，很有品位的
73,norm,n.规范，标准；准则；模范
74,hieroglyphic,adj.象形文字的；n.象形文字，象形文字写成的文章
75,domesticate,vt.驯养，驯化；使习惯于家庭生活
76,tribal,adj.部落的
77,revere,v.尊敬；敬畏
78,quarry,n.采石场；v.努力挖掘
79,organism,n.有机体，生物
80,optimal,adj.最佳的，最理想的
81,investigator,n.侦查员；调查者
82,intensity,n.强烈，剧烈；强度
83,ecological,adj.生态的，生态学的
84,descendant,n.后代，后裔；派生物
85,density,n.密度；密集，稠密
86,deficiency,n.不足，缺乏
87,cramp,n.痉挛，绞痛；【五金】铁夹钳；v.以铁箍扣紧
88,availability,n.可得性，可用性；可得到的人(或物)
89,aristocrat,n.贵族
90,arduous,adj.艰巨的；努力的；陡峭的
91,analogy,n.比拟，比喻；类比
92,focus,n.焦点；v.集中
93,mysterious,adj.神秘的
94,slice,v.把……切成片；大幅度削减；切开；n.薄片
95,hostile,adj.怀有敌意的；敌对的，敌方的
96,diet,n.规定饮食（为健康或减肥等目的）；日常饮食；大…
97,refuse,v.拒绝；抵制；n.废料
98,challenge,n.挑战；质疑；vt.挑战
99,target,n.靶子；目标；v.瞄准
100,proof,n.证据，证明；v.校对
101,soak,v.浸泡，渗透；n.浸泡
102,iridium,n.铱
103,attack,v.攻击，袭击；毁坏；n.疾病发作
104,drill,v.钻孔；n.训练；反复操练；钻头
105,squeeze,v.用力挤压榨取；n.压榨
