612,levy,v.征收（税等）；n.征税；税款
613,meteoric,adj.流星的；突然的；转瞬即逝的
614,stalk,n.茎，梗；v.隐伏跟踪
615,myth,n.神话；杜撰出来的人（或事物）
616,arousal,n.觉醒，激励，唤起
617,query,n.质问，询问，怀疑；v.询问，表示怀疑
618,recognize,vt.认出，辨别
619,academy,n.学院
620,basis,n.基础
621,psychological,adj.心理的，心理学的
622,stretch,v.伸展，延伸，张开；n.伸展，张开
623,solo,n.独唱；adj.独奏的；单独的
624,carve,v.雕刻；（把肉等）切成块
625,palace,n.宫殿
626,supreme,adj.至高的；最重要的；极度的
627,terrestrial,adj.地球的，陆地的；n.地球上的人
628,erosion,n.侵蚀；磨损；削弱；减少
629,particle,n.粒子，微粒；【语】小品词
630,surge,vi.汹涌；激增；n.波涛汹涌
631,kestrel,n.茶隼
632,marvel,v.惊叹，吃惊，诧异；n.奇才
633,counterpart,n.对手；对应的人（物）；副本
634,reflection,n.映像
635,midair,n.半空中；adj.半空中的
636,initiate,v.开始，发动（读作/ɪˈnɪʃiˌeɪt/）；n.新加入组织…
637,spiral,adj.螺旋的；n.螺旋，螺旋形；v.不断急剧地上…
638,efficiently,adv.有效率地，有效地
639,instrumental,adj.乐器的；仪器的；有帮助的
640,irregular,adj.（形状、图案等）不规则的；n.不规则物，不…
641,committee,n.委员会；全体委员
642,participation,n.参与；参加
643,federal,adj.联邦政府的；联邦制的
644,sacrifice,v.牺牲；献祭；奉献；做出牺牲；n.祭品；牺牲
645,discipline,n.纪律；学科；训练；vt.训练
646,property,n.房产；财产；特性；性能
647,permit,vt.允许，许可；n.执照（读作/ˈpɜrˌmɪt/）
648,agent,n.代理商，代理人；特工
649,primarily,adv.主要地；首先
650,temperate,adj.（气候）温和的；适度的，有节制的
651,import,v.进口；n.进口
652,nutritious,adj.有营养的，滋养的，营养丰富的
653,excavate,v.挖掘，挖出
654,exhibition,n.展览；（技能、感情或行为的）表演；陈列
655,pole,n.杆；电极
656,spinal,adj.脊柱的；脊髓的
657,latent,adj.潜在的，隐伏的，不易察觉的
658,resist,v.抵抗，抵制
659,method,n.方法；条理
660,disappear,vi.消失
661,constituent,adj.组成的；有选举权的；n.选民
662,performance,n.表演，演出；表现；执行；性能
663,transmission,n.传输，发射
664,shellfish,n.贝类；有壳的水生动物
665,lantern,n.灯笼
666,alpine,adj.高山的，阿尔卑斯山的
667,instruction,n.说明，说明书；指导
668,renaissance,n.文艺复兴；新生，复兴
