"﻿英文",中文,备注
margin,n 页边的空白，边缘；优势；利润；水域边缘，边隅；余地，备用时间；外边界,
thoughtful,n 体贴的 沉思的 缜密思考过 深思熟虑的,
pest,n 讨厌的人；害虫,
accustom,v 使习惯于,
humanity,n 人性；人类；人道；慈爱；人文学科（复数）,
geographical,adj 地理的，地理学的,
availability,n 可得性 可用性 可得到的人 有效性 实用性,
dye,v 染，染色；n染料，染液,
glaciation,n 冰川作用,
affection,n 感情；喜爱，爱慕；作用，影响；疾病,
aluminum,n 铝,
feather,n 羽毛,
niche,n 壁龛，合适的职业，生活方式，市场，上级，生态位； v 放在合适的位置,
institute,n 学会 学院 专科学院 学院 机构建筑 vt 建立 设定 制定,
fossilize,v 使成化石；使陈腐；使僵化；使固定不变,
velocity,n 速度,
boast,v 吹嘘；夸耀； n 夸耀,
barb,n 箭头鱼钩等的倒钩；伤人的话；v 装倒钩于；adj 具倒刺的；带刺的,
torque,n 转矩 扭矩,
delight,n 快乐 高兴事； v使快乐；享受,
foliage,n 叶子,
hazard,n 危害，公害，危险的事务；机会 v 使冒险，冒险做,
advocate,v 提倡，主张，为…辩护,
influential,adj 有极大影响力的；有支配力的；n 有影响力的任务,
powder,n 粉末；火药；细雪； v 抹粉；撒粉于，使变成粉,
density,n 密集，稠密；密度,
motivation,n 动力,
designate,adj 指定，选定，委派，任命；标明，标示；指明；指定，划定；adj 已受委派而尚未上任的,
elaborately,adv 苦心经营地；精巧地；苦心经营地,
canal,n 运河，河流,
moral,adj 道德上的，道义的；n 道德，品行； 寓意,
accurate,adj 正确的，符合标准的，准确的，精密的，精确的,
midair,n 半空中；adj 半空中的,
stability,n 稳定，稳定性，稳固性，坚定，恒心,
snap,v 使咔嚓一声折断，拍照摄影，啪嗒一声关掉打开 n 啪嗒声 关掉 adj 仓促的,
proof,n 证据，证明；检验；校样；v校对；实验；给…做防护措施；adj 防…的；能抵御；能防护,
facilitate,vt 为他人提供方便；使便利；促使,
tornado,n 龙卷风,
